Induced Current (μA),Frames Taken (1/30 s),0.005 / f*30 (m/s) 
0.3±35.833%,3.0±33.333%,0.05±43.333%
0.3±35.833%,3.5±28.571%,0.043±38.571%
0.3±35.833%,3.0±33.333%,0.05±43.333%
0.6±19.167%,2.0±50.0%,0.075±60.0%
0.2±52.5%,3.5±28.571%,0.043±38.571%
0.4±27.5%,2.5±40.0%,0.06±50.0%
0.1±102.5%,5.0±20.0%,0.03±30.0%
0.5±22.5%,2.0±50.0%,0.075±60.0%
0.4±27.5%,2.5±40.0%,0.06±50.0%
0.5±22.5%,1.5±66.667%,0.1±76.667%
0.5±22.5%,2.0±50.0%,0.075±60.0%
0.7±16.786%,1.5±66.667%,0.1±76.667%
0.3±35.833%,2.5±40.0%,0.06±50.0%
0.5±22.5%,2.0±50.0%,0.075±60.0%
0.2±52.5%,3.0±33.333%,0.05±43.333%
0.6±19.167%,1.5±66.667%,0.1±76.667%
0.1±102.5%,3.0±33.333%,0.05±43.333%
0.6±19.167%,1.5±66.667%,0.1±76.667%
0.3±35.833%,2.5±40.0%,0.06±50.0%
0.3±35.833%,2.0±50.0%,0.075±60.0%
2.8±6.071%,0.75±133.333%,0.2±143.333%
0.3±35.833%,2.5±40.0%,0.06±50.0%
0.3±35.833%,2.5±40.0%,0.06±50.0%
0.5±22.5%,1.5±66.667%,0.1±76.667%
0.3±35.833%,2.0±50.0%,0.075±60.0%
0.3±35.833%,2.0±50.0%,0.075±60.0%
0.5±22.5%,2.5±40.0%,0.06±50.0%
0.3±35.833%,2.5±40.0%,0.06±50.0%
0.3±35.833%,2.5±40.0%,0.06±50.0%
2.8±6.071%,1.0±100.0%,0.15±110.0%
0.2±52.5%,2.5±40.0%,0.06±50.0%
0.4±27.5%,1.75±57.143%,0.086±67.143%
0.2±52.5%,2.5±40.0%,0.06±50.0%
0.3±35.833%,2.0±50.0%,0.075±60.0%
0.5±22.5%,1.75±57.143%,0.086±67.143%
0.6±19.167%,1.5±66.667%,0.1±76.667%
0.4±27.5%,1.75±57.143%,0.086±67.143%
2.8±6.071%,0.5±200.0%,0.3±210.0%
0.4±27.5%,2.0±50.0%,0.075±60.0%
0.4±27.5%,2.0±50.0%,0.075±60.0%
0.3±35.833%,2.5±40.0%,0.06±50.0%
0.7±16.786%,1.5±66.667%,0.1±76.667%
0.3±35.833%,2.0±50.0%,0.075±60.0%
0.7±16.786%,1.5±66.667%,0.1±76.667%
0.2±52.5%,3.0±33.333%,0.05±43.333%
0.4±27.5%,2.0±50.0%,0.075±60.0%
0.4±27.5%,2.0±50.0%,0.075±60.0%
0.3±35.833%,2.5±40.0%,0.06±50.0%
0.5±22.5%,1.5±66.667%,0.1±76.667%
0.3±35.833%,2.0±50.0%,0.075±60.0%
0.6±19.167%,1.0±100.0%,0.15±110.0%
0.2±52.5%,3.0±33.333%,0.05±43.333%
0.5±22.5%,1.5±66.667%,0.1±76.667%
0.5±22.5%,1.5±66.667%,0.1±76.667%
0.2±52.5%,3.0±33.333%,0.05±43.333%
0.4±27.5%,2.0±50.0%,0.075±60.0%
0.1±102.5%,3.5±28.571%,0.043±38.571%
0.3±35.833%,2.0±50.0%,0.075±60.0%
0.2±52.5%,3.5±28.571%,0.043±38.571%
0.5±22.5%,1.5±66.667%,0.1±76.667%
0.3±35.833%,2.0±50.0%,0.075±60.0%
0.5±22.5%,1.25±80.0%,0.12±90.0%
0.4±27.5%,2.5±40.0%,0.06±50.0%
0.5±22.5%,1.25±80.0%,0.12±90.0%
0.4±27.5%,2.0±50.0%,0.075±60.0%
0.6±19.167%,1.0±100.0%,0.15±110.0%
0.1±102.5%,4.0±25.0%,0.037±35.0%
0.6±19.167%,1.0±100.0%,0.15±110.0%
0.1±102.5%,3.5±28.571%,0.043±38.571%
0.6±19.167%,1.5±66.667%,0.1±76.667%
0.6±19.167%,1.25±80.0%,0.12±90.0%
0.7±16.786%,1.25±80.0%,0.12±90.0%
0.1±102.5%,4.0±25.0%,0.037±35.0%
0.3±35.833%,2.5±40.0%,0.06±50.0%
0.5±22.5%,1.0±100.0%,0.15±110.0%
0.6±19.167%,0.75±133.333%,0.2±143.333%
0.5±22.5%,1.0±100.0%,0.15±110.0%
0.3±35.833%,2.0±50.0%,0.075±60.0%
0.5±22.5%,1.5±66.667%,0.1±76.667%
3.3±5.53%,0.5±200.0%,0.3±210.0%
0.2±52.5%,3.0±33.333%,0.05±43.333%
3.0±5.833%,1.0±100.0%,0.15±110.0%
0.4±27.5%,2.5±40.0%,0.06±50.0%
3.5±5.357%,0.5±200.0%,0.3±210.0%
0.4±27.5%,2.0±50.0%,0.075±60.0%
0.5±22.5%,1.0±100.0%,0.15±110.0%
0.3±35.833%,2.0±50.0%,0.075±60.0%
0.4±27.5%,1.5±66.667%,0.1±76.667%
0.5±22.5%,1.0±100.0%,0.15±110.0%
0.3±35.833%,1.0±100.0%,0.15±110.0%
0.6±19.167%,0.75±133.333%,0.2±143.333%
0.3±35.833%,1.75±57.143%,0.086±67.143%
0.5±22.5%,1.0±100.0%,0.15±110.0%
0.4±27.5%,1.0±100.0%,0.15±110.0%
0.5±22.5%,1.25±80.0%,0.12±90.0%
0.4±27.5%,2.0±50.0%,0.075±60.0%
0.5±22.5%,1.0±100.0%,0.15±110.0%
0.3±35.833%,2.0±50.0%,0.075±60.0%
0.6±19.167%,0.75±133.333%,0.2±143.333%
